,learning_rate,weight_decay,min_delta,validation_accuracy,test_accuracy
0,0.0001,1e-05,1e-05,0.8033573299146423,0.8414053555825723
1,0.0001,1e-05,0.0001,0.8043917030998323,0.8412635521346632
2,0.0001,1e-05,0.001,0.8017246857981877,0.8357123642179852
3,0.0001,0.0001,1e-05,0.8052770564193594,0.842902633164907
4,0.0001,0.0001,0.0001,0.8034335736354274,0.8135742901145672
5,0.0001,0.0001,0.001,0.803967044284243,0.8137361551809913
6,0.0001,0.001,1e-05,0.8018105046343975,0.8119508787130775
7,0.0001,0.001,0.0001,0.8040803295571576,0.8163093336634111
8,0.0001,0.001,0.001,0.826722641434291,0.8170315192276496
9,0.001,1e-05,1e-05,0.830709906549938,0.8192083583607722
10,0.001,1e-05,0.0001,0.8248601997380868,0.8122964008716125
11,0.001,1e-05,0.001,0.8045139027172907,0.7927201939644778
12,0.001,0.0001,1e-05,0.8253896485724794,0.8162664468636417
13,0.001,0.0001,0.0001,0.8356647042700283,0.8275211216969262
14,0.001,0.0001,0.001,0.7904697890018388,0.815303047607334
15,0.001,0.001,1e-05,0.8058510203938788,0.8311687280221908
16,0.001,0.001,0.0001,0.807572869445112,0.830964214020924
17,0.001,0.001,0.001,0.820790044072803,0.8497298628167733
